title,rating,author,date_published,review_text,Type Of Traveller,Seat Type,Route,Date Flown,Recommended,Aircraft
British Airways customer review,9,J Gill,2015-04-12,flew to bangkok from london heathrow on 13th march. first time i have ever flown with ba normally fly long haul with virgin but they don't fly to bangkok. we were offered upgrades in the last few days for big discount but only on the flight out. world traveller plus was very good with fab leg room and comfy seats. nice food too. managed to sleep 5 hours in quiet cabin. but if i had paid normal price then it was not worth the extra money as we found economy seats on the flight home were very comfy and good leg room. the plane was older 777 but not problem. very clean and the staff were attentive. i was nervous because of previous reviews but no need to be as we had a very enjoyable flight.,Solo Leisure,Economy Class,Unknown,,yes,Unknown
British Airways customer review,10,R Simon,2015-04-06,lgw-jer-lgw day trip on march 25 both flights in economy morning flight on airbus 319 evening flight back on a 737-400 still featuring the more comfortable old seats. both flights on-time or early. excellent service for this short domestic hop. a breakfast sandwich and drinks were served in the morning while crisps or biscuits and full bar service were offered on the evening flight back. fas were excellent on both legs providing a good efficient and friendly service on these short flights. flying with hand baggage only we used web check-in for both legs which worked efficiently. boarding procedures were unremarkable which is good. bas terraces lounge in lgw is fairly comfortable and spacious enough although very busy in the morning. acceptable cold breakfast choices and porridge as the only hot alternative. drink choices were plentiful and of good quality. bas terraces lounge in jer was more basic but again comfortable. again various good quality drink alternatives but just very limited food options (basic snacks such as crisps and hot soup). overall an excellent domestic flight experience for economy. would be more than happy to do it again. (oneworld sapphire).,Solo Leisure,First Class,Unknown,,yes,Unknown
British Airways customer review,7,Chris Matthews,2015-03-28,this was the last flight in a one world around the world ticket. buenos aries to lhr a 13 hour flight. i really didn't have any complaints about this flight or ba but against the other 7 airlines in 3 months it was pretty average. the fa's were helpful the food was ok the only really bad thing was the avod. half a dozen new releases and a dozen or so older films. likewise the album selection- pretty poor. the 777 was around 6 years old so maybe was due for an upgrade. to be fare i'm comparing ba against emirates so no contest really!,Solo Leisure,Business Class,Unknown,,no,Unknown
British Airways customer review,7,Sharma Anita,2015-03-23,"having heard so many negative reviews of ba i still mustered the courage to book to trip to chicago and sfo. to begin with when i reached mumbai airport with our online check in printouts 4 hours before scheduled departure i was pleasantly surprised to see the ba staff ready to check in the baggage. we were thru checked in up to chicago with a 5 hour halt at lhr. london heathrow terminal 5 is chaotic to say the least the security taking forever (in our case 45 min) to clear the hand baggage gave us some 3 hours before we boarded our chicago flight which was comfortable. our next connection from chicago to sfo on aa was a bit messy as the cabin space was full and last minute check-in of hand baggage was enforced. then for our sfo-lhr-del flight the sfo-lhr got delayed but again check-in was pleasant and though the connection time between two flights was 80 minutes because of the delay we had a margin of only 35 minutes. when we requested the flight purser to let us disembark before anyone else he said ""why did you take this connection even if you make it somehow your baggage wont"" - so much for assistance! even after disembarking last of all we were met by the ba representative at the gate who took us thru the fast track channel and we made it to the flight in a record 20 minutes. all went well except for one tiny hitch one piece of baggage never made it to our next flight.",Solo Leisure,Economy Class,Unknown,,no,Unknown
British Airways customer review,9,Clive V Drake,2015-03-17,lhr-pisa-lhr. i have a house in tuscany so fly there often. i used to fly a certain yellow/blue/white budget carrier from stansted but got fed up at being treated like an inconvenience and that the fa's consistently spoke poor english. as a silver card holder my wife and i enjoyed a nice breakfast in the lounge. it was not busy. we were seated in the exit rows which i selected before we left. it was better than the club europe space i had last month - which is why i bought economy as opposed to club which i feel represents very poor value. the plane was a nice new a320 with the new seats. it was spotless. we had a nice snack on both flights + a few gin and tonics for me ! (the wife was driving on arrival) the fas were great. friendly and treated us like customers - not like cattle. funnily enough both flights pushed back early and arrived early. flight home was a bit rough due to high winds around pisa - and a re-assuring comment over the pa system was a thoughtful touch to nervous flyers - my wife included. all in all ba at its best. they either getting it right or spectacularly wrong. there never appears to be anything in the middle. am flying again with them in 4 weeks time and look forward to it.,Solo Leisure,Business Class,Unknown,,no,Unknown
British Airways customer review,9,C Cutts,2015-03-09,lhr-sof-lhr 27th feb/2nd mar seat a1 on an a320 in both directions check in at t5 quick used the ba galleries south lounge which was good as ever. boarding on time as was departure and arrival new business seats on both aircraft which were comfortable enough. food (breakfast) and crew on outbound very good bags waiting once through immigration in sofia. return check in quick although security check was so slow the lounge in sofia is dreadfully dull with no facilities food or drinks passengers would be better of using the general airport facilities! departure was almost an hour late as was arrival due to weather at heathrow; otherwise crew were great as was the lunch served.,Solo Leisure,Economy Class,Unknown,,no,Unknown
British Airways customer review,4,C Childs,2015-03-04,my return flight from cape town to heathrow ba0042 30/1/15 was a miserable experience. my entertainment system was not available for three hours despite being told that it could easily be re-set. (no one was available to do it). when it did become available it was lights-out time and my seat would not recline. it was not possible to focus on the screen with the reclined seat in front at such close quarters. two stewardesses thought the seat belt was preventing the seat from reclining but when this was not the reason no one else came to investigate. no one seemed to care that i needed to stand for long periods to relieve my back. being polite and patient did me no good. i have several questions. how often are the seats serviced? why is the entertainment system so unreliable? how often are the seat belts checked because mine kept slipping? customer services want me to chose ba in the future but as they ignored addressing these issues when i wrote to them i have too many doubts.,Solo Leisure,Economy Class,Unknown,,yes,Unknown
British Airways customer review,3,Hugh Harkness,2015-02-18,ba 0058 cape town to london heathrow seats 03a & 04a. check in - directed to club world check in. one of our bags not labelled with first priority label. a little annoying as on the way out all first luggage was the very last off the carousel. boarding was via gate 2 and then through world traveller plus section. again annoying as that happened with boarding and disembarking on the way out. electrical problems with entertainment and lighting - resolved after two hours. no first amenity bags on board. no sleep suit offered as not on board either. seat for buddy dining kept collapsing. as it was the 1st of the month new wine list available. after one glass of mersault there was no more on board. offered 2 of last months whites as an alternative. butter at breakfast was rancid. needn't have worried about the bag without the priority label. it came of before our other bags! again first luggage came through long after most of the other classes of travel had cleared the baggage hall. we did disembark through door 1 however. crew pleasant and apologetic. why do we pay the extra? it's back to club world for us. time to start trying other airlines as well.,Solo Leisure,Economy Class,Unknown,,no,Unknown
British Airways customer review,1,V Pervaaz,2015-02-11,"i have been a loyal customer for the last 10 years and have progressively seen the service cleanliness and interest in client satisfaction decline. i just came back from a nyc-lhr-dubai trip and will not fly ba again. several reasons: my seat in business class was noticeably filthy - crumbs on the seat and hair on my pillow. when i told the attendant she just fluffed the pillow and walked away. i was hounded for not filling out the breakfast form in 5 minutes (the plane had not even taken off) and told that ""i would not get breakfast"". i was served raw chicken and when i expressed interest in another dish was told that all the other passengers had eaten and that there were no more dishes on the plane? the dish was taken away but no follow up or apologies - not even an extra bag of nuts to ensure that i was not hungry for the 7.5 hr flight. perhaps the most disturbing part of traveling with ba is that the staff are unapologetically arrogant disinterested and unapproachable and any response is as if they are doing you a favor. as a customer paying nearly 10000 usd for a round trip ticket i shouldn't be afraid to speak to staff and highlight a dirty seat or food that is not cooked. the seats on two of the legs were broken and my screen did not work on three of the legs. there are plenty of other first class carriers out there that i will now become a customer of.",Solo Leisure,First Class,Unknown,,yes,Unknown
British Airways customer review,2,Charles Green,2015-01-28,return flight from lhr t5 to washington dulles (iad) in club world. check in was fine even if the layout of the t5 check-in area isn't the most intuitive. security was efficient. however the ba lounge was overcrowded and noisy with minimal service and only basic comforts. outbound flight on the a380. boarding was rather chaotic due to the gate area being too small for such a large passenger compliment but the flight did push back on-time. the club world cabin on the upper deck could best be described as grey and functional. it was reasonably clean if not spotless but despite being a relatively new aircraft it did feel slightly shabby already. the club world seat which was forward facing and on the aisle was comfortable enough. the entertainment screen was rather small and the choice of movies wasn't terribly extensive but everything apart from the in-seat usb power socket was working. the general layout of the cabin was terrible. not only do window seat and middle row passengers have to step over the legs of aisle seat passengers to get to and from their seats but when the privacy screen between seats is lowered for take-off landing and during meal services you find yourself staring rather disconcertingly close up into your neighbours face. it makes everything feel cramped and cheap. meals were fine and the crew were polite and efficient. overall i'd rate the outbound experience as 'okay' for a business class flight. return flight experience was far from okay. my flight departing iad at 10.20 pm was cancelled 6 hours prior to departure due to mechanical issues. told that there were no club world seats on the earlier flight out of iad that night which i could just about make at a push and i would have to fly back in economy. when i asked about the ba flight from baltimore (bwi) an hour later i was told that yes there were club world seats available that evening so i asked to be rebooked onto that flight instead. arriving at bwi check-in i was informed that unfortunately there actually weren't any club world seats available and i would have to fly back in world traveller plus. the flight from bwi to lhr t5 was on a rather old 767. the cabin interior was dated shabby and cramped with minimal overhead luggage storage. world traveller plus seats were cramped and uncomfortable with tiny entertainment screens. in-flight food was bland. the crew were efficient but not terribly friendly. flight left and arrived on time. as a uk passport holder immigration at t5 was quick. baggage reclaim took longer but bags arrived within five minutes of reaching the baggage hall.,Solo Leisure,Business Class,Unknown,,yes,Unknown
British Airways customer review,1,Niall Farnan,2015-01-26,"took a return trip to dublin over christmas and found ba to be extremely disappointing. my principal complaint is the dirt - the seats and floor area looked as if they had not been cleaned for many flights. also at 5'8"" i am not that tall but still found the seats cramped and uncomfortable.",Solo Leisure,Economy Class,Unknown,,no,Unknown
British Airways customer review,8,A Clarke,2015-01-21,dub-lcy (ba 4467) got the flight on sale for a pretty good price. great legroom on the e190 and comfortable seats quick and hassle free boarding. service was a bit slow but included a drink and a snack (enough for such a short flight of an hour) with the option for more if so desired. would recommend. lcy is going to be my airport of choice when going to london in future was sitting on the dlr 15 mins after landing and at my hotel 40 mins after disembarking and the trip on public transport was only £4.80 rather the excessive cost/time from other airports in the area.,Solo Leisure,Business Class,Unknown,,yes,Unknown
British Airways customer review,6,P Dean,2015-01-19,london-gatwick to venice on 30 december 2014 everything went smoothly at check in no problems flight arrived safely. info given during flight. no gluten free option given for snack during flight but got vegetarian option. opted for a drink and own snack which i always have as stand by. cabin crew seemed rushed but polite.,Solo Leisure,Economy Class,Unknown,,no,Unknown
British Airways customer review,7,S Morley,2015-01-19,washington (iad) to heathrow on christmas day returning january 5th. i find myself nodding in agreement to many of the reviews written here by other passengers regarding the slippage in standards of ba especially considering what they once were. having arrived at dulles in good time to check in there were paper notices on the desk to say that check in would not open 'til 5.00 pm. okay it was christmas day but all other carriers both domestic and international were open (the airport was busy) and i along with other passengers had to sit and wait for 1.5 hrs until staff arrived. the same was true of the lounge which having made it through security was not open 'til 6.30 pm. again the other airline lounges were open. having eventually gained access the lounge was great and the bar and dinner service (i was on a sleeper flight) were very good with plentiful drinks and fine food. we boarded on time and my seat was upstairs on the a380. this aircraft is of course huge but the club world seat is as many have noted much less comfortable than the boeing 777 or 747. it is narrower and whilst okay for seating very hard and difficult to find the right position for sleeping. ba seem to have missed a great opportunity here to do something really special along the lines of some of the asian carriers. the crew were very good - friendly and attentive. breakfast before we landed was very average. the bacon rolls were dried out and are always a challenge to eat. yoghurt and fruit were the alternatives which i went for. check in for the return journey was lamentable at heathrow terminal 5. dedicated club world positions had queues around ten people deep and moved terribly slowly. not all the positions were open and passengers were visibly irritated. the journey other than the cramped seat issue again was fine with another good crew and food and drinks. i have always recommended ba to friends and would like to keep doing so but feel that especially given the high and rising cost of paying for club these days ba need to adopt a slightly less 'take' attitude and give a little more especially when it comes to spending avios which they are very keen for one to accrue but reticent to allow one to use.,Solo Leisure,Economy Class,Unknown,,yes,Unknown
British Airways customer review,1,R Rodway,2015-01-14,"being an ex pat i decided to fly the flag from seattle back to england in november 2014 to celebrate my 60th birthday. i was accompanied by my wife a son and daughter with their spouse's and our 2 year old grandson. between us all we spent a considerable amount of money to fly economy class. after a short time into the flight we soon discovered the economy seats on the 777 to be extremely small uncomfortably close to the seats in front of us with almost no legroom and armrest that only fold up halfway! i wonder what genius came up with that one. aside from serving us ""steerage"" passengers that stuff they called food and a drink we never saw the cabin crew in both directions. they wouldn't even come around to collect the trash so we sat amidst it. they didn't even check to see if my grandson needed anything. as far as flying ba again there wont be a next time.",Solo Leisure,Business Class,Unknown,,yes,Unknown
British Airways customer review,2,B Morrison,2015-01-11,"lhr-sfo-lhr. why do i keep thinking ba will improve? the 747 on this route is falling to bits. their business class configuration is terrible. facing a complete stranger having to attempt to climb over other passenger to go to bathroom! seat narrow and table unusable for dinner unless use knee to hold it up! food on both legs awful but worse coming from sfo. also club kitchen pathetic. ife systems the worst of any airline. ba please travel on emirates just once and see how it should be done. staff on way out on upper deck very nice and attentive however on return to lhr on upper deck staff were verging on ""can't be bothered""! served dinner during severe turbulence which you could not eat so they could get dinner finished and sit down for rest of flight. had to go to galley to get drink as ignored call button. then empties sat on table for two hours before i dumped them in galley. breakfast consisted of hard fruit and greasy bacon tiny roll. both of which left uneaten. i keep booking through blind loyalty but after bahrain and san fran in december decided no more. they have just got too bad.",Solo Leisure,Business Class,Unknown,,no,Unknown
British Airways customer review,6,David Russell,2015-01-05,ba662 26/12/14 lhr-lca economy seat 27k. 37 minutes late leaving heathrow but that's not unusual for this service made up some of the time but still arrived 30 minutes late into larnaca. flight was on an old boeing 767 - the seating was a bit too firm and not very comfortable. this seat was an exit row so leg room was superb. gets a little cold here but ok for a flight of this duration. no personal video on demand just old overhead screen system so next to useless. they replace the seats but not the entertainment system and on a flight like this of over four hours it should be better. food was pretty good with a choice of salad or hot meal with the usual free beverages. cabin crew were ok nothing special and we never got a pass by the duty free either for some reason they missed out rows 27j/k towards the back. flight crew gave good flight information and updates. luggage arrived ok at destination. so to sum up very ordinary very average very late.,Solo Leisure,Business Class,Unknown,,yes,Unknown
British Airways customer review,8,Guy Senior,2014-12-31,a very pleasant but flawed flight to dallas. on the plus side a very good lunch good drinks lots of privacy (difficult to see fellow passengers) a very comfortable seat and an excellent crew. however the ife had limited choice and the second 'meal' served 8 hours after take off was a few sandwiches. not difficult to put this right and turn good into great.,Solo Leisure,First Class,Unknown,,no,Unknown
British Airways customer review,4,S Balaz,2014-12-22,lhr to mia on 12/8/2014. pros: lighting window blinds large tv personal storage pjs and food. cons: seat does not conform to lounge chair without activation of sleeper section. no bedding provided except used throw pillow from last seating. four middle seats crowd the area too much. bathroom very small. cabin was very very dirty. advise fly aa 777 or 77w on same route.,Solo Leisure,Economy Class,Unknown,,yes,Unknown
British Airways customer review,10,T Hanan,2014-12-18,man-lhr-zrh and return. very smooth online check-in and seat selection. lightly loaded flights so i ended up with an empty seat next to me on every leg of the journey. the catering was pretty basic the usual crisps biscuits or nuts but a full complimentary bar. every flight was on time or early - when the return flight arrived at lhr ahead of schedule they even agreed to rebook me on an earlier connection to man which then also arrived early at man. all in all an impressive experience.,Solo Leisure,Premium Economy,Unknown,,no,Unknown
British Airways customer review,9,R Jones,2014-12-10,amsterdam for two nights on business. used ba. i have to say that their economy euro product is good and covers all angles for smooth and efficient journey. check in at lhr t5 takes seconds and security minutes. the aircraft was the early-bird and was full. breakfast snack and tea served minutes after take off. even a tea refill offered. good value for money too.,Solo Leisure,Economy Class,Unknown,,yes,Unknown
British Airways customer review,3,Donna Burchett,2014-12-04,iah-lhr b747 which was old but sat upstairs and it made it very pleasant. they charged $129 extra to reserve a business class seat in the upper deck. do not care for the seating of one seat forward and one backwards. the food was terrible and they did not really want to serve any drinks unless they had too. felt like i was in economy. nuts were in a bag and breakfast was not much better. flight attendants not very friendly.,Solo Leisure,Business Class,Unknown,,yes,Unknown
British Airways customer review,9,John Geoffrey Pierson,2014-11-25,nbo-lhr club world and lhr-bos in economy: generally a pleasant and comfortable experience. i have difficulty reconciling our positive experiences with the negative comments about flight attendants in other posts here. as we boarded in nairobi the purser welcomed us by name and said how pleased they were to have us back again on ba. before take-off from london a flight attendant offered the third person in our row a different seat leaving my wife and me with a vacant seat between us. in all cases attendants were helpful cheerful and efficient. obviously in club world staff have more time to spend with passengers. with the exception of the late night dinner out of nairobi we were impressed with the meal selection and quality. flights were on time; checked baggage arrived in good condition. agree that having to pay to reserve seats (if you are not of sufficient one world status) is disappointing. generally we remain very pleased with british air certainly the best one world option to europe and beyond from boston.,Solo Leisure,Business Class,Unknown,,yes,Unknown
British Airways customer review,8,Kari Strouse,2014-11-20,"mia-lhr-bkk round trip club world three 777 and one 747. check-in wait time is short for all flights. fast pass through passport control and or security at heathrow and bangkok a big time-saver. priority boarding smooth and relatively fast. miami lounge shared with other airlines but excellent selection of comfortable seating food and drink. heathrow lounges food offerings lacking. small bangkok lounge serviceable but wi-fi was down. cabin service in general good with fairly attentive staff. i did however receive an unprofessional and snide comment about ordering a fourth kir royale on my last leg despite the fact that there were six hours left in the flight and i was not showing any signs of drunkenness. i did not pay $8500 to be insulted by cabin crew. food over the four flights was inconsistent ranging from tasty to inedible. ife showed the same movies on all four flights despite the fact that i flew in two different markets and my return was a full month after outbound flight. as i am only 5'3"" tall the seat was more than adequate though i could see how taller people would have a problem with it. also i find it ridiculous that you must pay to choose your seat more than 24 hours before flight. aisle seats are preferable as those on the inside must climb over the feet of the aisle passenger to get out into the aisle. good overall experience except for a few pointed gaffes. on the fence as to whether the price is worth it.",Solo Leisure,Business Class,Unknown,,yes,Unknown
British Airways customer review,5,Gordon Wheeler,2014-11-20,just completed a return trip to hong kong on the a380 which is a magnificent aircraft. the crew food and inflight entertainment were good. we travelled economy and paid an extra £140 to reserve 2 seats on the upper deck. we found the seats uncomfortable and when the person in front reclined their seat you were trapped. leg room was restricted by the video box. we were sat 2 rows from the toilet which were nearly constantly in use and the noise from the toilet flush was an irritating. the inflight entertainment just kept me sane as i found it impossible to be comfortable.,Solo Leisure,Business Class,Unknown,,yes,Unknown
British Airways customer review,9,George Alba,2014-11-12,ba 83 from lhr to lax first time on airbus a380-800. very comfortable quiet and smooth flight. the aircraft was exceptionally quiet on takeoff. food and service top notch. nice to have a free beer and wine with lunch. first time in lhr which i found to be a zoo but excellent duty free shopping. lax can also be a zoo but that's to be expected. ba flight crew very professional and courteous. would fly them again especially on the a380.,Solo Leisure,Business Class,Unknown,,no,Unknown
British Airways customer review,4,T Chamberlain,2014-11-06,london gatwick to tampa and return ba2167 and 2166. outbound flight departure was delayed for over an hour due to 'technical problems'. 90 minutes late arriving. in flight service to economy poor very few drinks people having to go to the galley to get water or juice. special meal on return awful and inedible. we ordered the same but got a different dish. didn't eat it. return flight delayed over an hour due to sick passenger which necessitated return to stand and passenger/ bag offload. entertainment system unreliable screen cutting out. check in staff in tampa told us we had no seats despite having printed boarding passes! turned out her computer was on the wrong day! they were good overall and lenient on baggage weight.,Solo Leisure,Business Class,Unknown,,yes,Unknown
British Airways customer review,3,M J Brust,2014-11-03,took ba flight 289 from lhr to phx 10/27/2014. very tired 747 with daily service to phx. entertainment system wasn't functioning. only offer was to move to one row from toilets and a complaint card to fill out. staff just going through the motions. no more ba for me and changing terminals is a nightmare in lhr and will avoid all costs.,Solo Leisure,Business Class,Unknown,,yes,Unknown
British Airways customer review,9,Garreth Elston,2014-10-28,flew ba from toronto to new delhi via london in premium economy class in august. first leg was on a 787 plane was nice but definitely does not have nearly enough toilets on board. premium economy passengers have quite a walk to the nearest lavatory (bad bad design). on board service was very good staff were great food was good. next leg from london to new delhi was on a 777 much better in my opinion that the dreamliner primarily as it has better toilet facilities. again staff and service were top notch. our return trip in october was made with our newborn baby. if anything the service was even better than on our first leg. thankfully we had a 777 on both legs and not the dreamliner. staff were incredibly helpful and accommodating making a fuss about the baby and really always there to help. again the food and beverage service was very good. the seat reclining buttons were a bit stiff but other than that the seats were ok not excellent but definitely comfortable enough. considering that i hadn't flown ba for over ten years before these flights (due to bad service) i was really pleasantly surprised by the improved level of service provided by the airline. yes being in premium economy helped but i was very satisfied comparing it to virgin atlantic's premium economy which i have regularly used. well done ba you made a trip that we were dreading actually quite a pleasant experience and i'm likely to fly ba again now.,Solo Leisure,Business Class,Unknown,,yes,Unknown
British Airways customer review,7,C Cutts,2014-10-28,ba285 lhr-sfo seat 13a in wt+ on a pretty old 747-400 check in and security at t5 very quick i used the lounge at t5-b which was nice and close to the gate flight departed and arrived 1hr late. crew very good the seat ptv and food not the best on this flight. i've used ba a lot over the past 2 years and find them pretty consistent although i've also noticed that service along with seats ptv of course is much nicer on the newer a380s or the 777-300s so it's worth choosing your aircraft. otherwise ok flight.,Solo Leisure,Business Class,Unknown,,no,Unknown
British Airways customer review,10,Suhail Shafi,2014-10-22,i recently flew on british airways long haul on a flight from philadelphia to new delhi havinh not having travelled with british airway for around a decade. i had been a huge fan of british airways in the past and was very curious to see how their inflight product and entertainment had changed in that time. i also was curious to see heathrow's new terminal 5. british airway's overall product has improved in that time. on the first leg from philadelphia to london i was very happy to notice the new seats with excellent comfort with adjustable headrests and new audio video on demand (avod) entertainment systems. i had been travelling with noise cancelling headphones which made the experience a thoroughly enjoyable one. inflight entertainment system is sophisticated and i enjoyed their world music section in particular. the asian vegetarian meals was of a high standard for the most part. my only criticism in this area was that on the second meal (breakfast) we only were served a fruit platter and had to ask for the croissants everyone else were given. in addition i found the chapatis on the delhi-london sector to be hard as rocks. otherwise the meals were very good. terminal 5 is a gem of an airport but the true highlight of the journey was on the london-philadelphia sector when i had the opportunity to fly on the dreamliner. the plane is a marvel. the windows are huge dimmable by button too. the bathrooms are larger than usual and the flight was very smooth. additionally the legroom on the dreamliner is impressive - an improvement on the b777. and finally a word about the cabin attendants. their level of friendliness varies from person to person but for the most part they represent the best traditions of british hospitality - informal politeness. all in all i was happy with my ba trip and they continue to perform as one of my favourite airlines.,Solo Leisure,Business Class,Unknown,,yes,Unknown
British Airways customer review,1,James williams,2014-10-20,i flew one way mco-lgw 6th october the service aircraft and overall product was so below standards and expectations british airways has lost a customer for life. i requested assistance due to illness which i couldn't have at orlando airport just the priority lane to help me not wait? when boarding they wouldn't let me board without checking with three people just because i was young and didn't appear to need assistance. after this i could barely make it to my seat without difficulty breathing the crew just leant against the bulkhead and couldn't even ask if i was ok. the drinks took in excess of an hour with a lot of in and out of the galleys with no progress. the meal service took even longer and seemed disorganised no choice by the time they got to me. the 2nd meal was a freezing cold croissant hardly edible. why do they need to be chilled? room temp would make them a bit better. the head rest was hanging off its housing when i boarded no attempt to fix by ground staff or reseat me into a working seat. the ife screen was so tiny and had squares on it from the old fashioned touch screen technology definitely behind both virgin and thomson on this route. when i got to gatwick the ground staff were just as awkward in providing me with assistance - if you don't look old then you shouldn't need assistance. never again ba.,Solo Leisure,Economy Class,Unknown,,no,Unknown
British Airways customer review,9,C Cutts,2014-10-12,lhr-mxp-lhr. check in/bag drop at t5 once again very slow appears to be a staff shortage at some times of the day. my ffs allows me to use the lounge so i had time for a quick coffee i like the ba lounges at t5. boarding on time seat 26a on a a320 seemed new with a nice crew a snack and a drink served. return check in quick milan malpenza airport is horrible! managed to find lounge close to b35 limited food but quiet wifi was poor although there is a smoking lounge. boarding quick seat 19a and another newish a319 full flight snack and drink served crew very chatty early arrival at t5. good product although i booked on day of travel so a bit expensive.,Solo Leisure,Economy Class,Unknown,,no,Unknown
British Airways customer review,1,G Gibb,2014-10-08,"lgw to szg. absolutely useless for a scheduled service and would not recommend to anyone. booked flights to salzburg for travel in september way back in april and chose the 13.45pm flight as most convenient even though more expensive. luckily we arranged an overnight stop in gatwick as we live in the north of england as otherwise don't know what we would have done when our flight was cancelled with notice only being given about 9.30pm the night before. we were put on the 7.15 am flight which meant being at gatwick for 5am. this is a much cheaper flight but no partial refund is available its take it or leave it with ba. our subsequent onward travel plans were also in disarray because of this and it was a most unpleasant and stressful start to our holiday. having taken the trouble to complain to ba i am amazed it took 8 days to send a most unsatisfactory short response which ended with ""we hope you fly with us again to restore your confidence in our service"". ba need to learn that scheduled service means just that and plans are made around the timings that cant just be altered with no notice. i would not trust or travel with them again.",Solo Leisure,Business Class,Unknown,,no,Unknown
British Airways customer review,4,Bernard François,2014-10-05,singapore-london heathrow - i did not really see the ba hospitality. the entertainment was poor and the seat very uncomfortable. this experience makes me very frustrated the only good thing was the low price.,Solo Leisure,Economy Class,Unknown,,yes,Unknown
British Airways customer review,9,A Cork,2014-10-01,lhr-fco. flew out club europe courtesy of a reduced fare by ba. we thoroughly enjoyed the experience. the lounge in the satellite was more relaxed than the main t5 terminal. as it was an early flight the food was fresh pastries and small bacon baguettes which were excellent. nice way to start a journey. the flight was good. very attentive staff on the b767. my colleagues had recently flown easyjet and hadn't flown club before and were very complimentary about the experience. the return was economy on a new a320. impressed with the new style seats and again was a good experience.,Solo Leisure,Economy Class,Unknown,,no,Unknown
British Airways customer review,7,Anita Sulley,2014-09-24,we flew on the a380 from heathrow to jo'burg return economy class. i thought the flight was excellent. the crew were very helpful and the meals were good. we flew in the bottom level one way but the upper level on the return - i liked the upper level better. there are convenient storage units by the window seats. keep in mind the overhead compartments are smaller upstairs though. would definitely fly with them again.,Solo Leisure,Economy Class,Unknown,,no,Unknown
British Airways customer review,8,Mark Williams,2014-09-18,flew lhr-bud 11 sep ba866 and return 15 sep ba 869 club europe. early morning flight from t3 so breakfast in lounge. usual assortment of cereals and fruit etc but limited selection of hot food (although the bacon roll was delicious). as is usually the case had to ask for champagne but staff happy to oblige and quickly brought it to our table. plenty of staff around and the whole lounge appeared to be kept tidy and clean. had to board via a bus and there was no preference given to business passengers. managed to get onto the bus first and got to seat without any problem. plane had been refitted with the new layout. beautiful cabin and the seats are lovely but gone is the extra leg room in club. big disappointment. it feels quite claustrophobic and then the person in front puts their seat back. not as nice a place to be compared to the old club section aesthetics notwithstanding. friendly crew plenty of champagne and a surprisingly good hot breakfast of omelette mushrooms bacon and sausage with hot bread. coffee still poor however. no ife apart from progress maps / information on small screen from ceiling. bud airport a disaster. no time at all to clear immigration but had to wait almost an hour for bags - priority tags didn't seem to make any difference. no aircon in bag collection and overcrowded with people waiting for bags. very uncomfortable and unpleasant. on return the lounge ba shares at bud is small with very limited selection of food and drinks but all quite acceptable. a short delay was posted at check in and gate changed but all in all no real problem. priority boarding worked well. same plane configuration on return. excellent crew up front on return too - plenty of smiles and chat. fas free with the booze and nuts. food was again a surprise - i had cod with a tandoori sauce and rice with cauliflower. very tasty. ba can be hit and miss but i thoroughly enjoyed both flights. a great soft product if they can maintain the standard but the new fit out is a disappointment.,Solo Leisure,Economy Class,Unknown,,yes,Unknown
British Airways customer review,9,D Morgan,2014-09-14,lhr-edi used avios to make short break to edinburgh. unlike transatlantic flights there were plenty of seats on offer even at short notice and we managed to get onto the flights we wanted. both flights were on time (more or less) and both were on new a320 aircraft - bright and airy interiors with plenty of storage space for luggage. the drink and small bag of nuts while welcome is nothing to get excited about and seems more of a gimmick these days to distance ba from its budget airline rivals. service levels both on the plane and on the ground were excellent throughout and i really enjoyed this domestic service.,Solo Leisure,Business Class,Unknown,,yes,Unknown
British Airways customer review,7,J Tydeman,2014-09-09,flew heathrow to lyon return. late flight on the way out but made up all but 10 mins of the time. catering hardly worth the effort as comprised unappetising looking sandwich and one drink (not even tea or coffee on the outbound). crew good and check in very good especially at heathrow.,Solo Leisure,Economy Class,Unknown,,no,Unknown
British Airways customer review,6,Mohamedali Maz,2014-09-06,travelled lhr to montreal 21st august 2014 and montreal to lhr 1st september 2014. aircraft used was a 777-200 with 4 classes. this sector does not normally offer a first service so business class passengers were spread throughout the first and club world cabins. all flights were on time and the cabin crew were excellent especially on the outward leg. check in and baggage reclaim were smooth and efficient. the lounges at terminal 5 are looking tired and were rather dirty when we used them. food choice was limited although i did enjoy the hot soup. seating in ba is dated and even ba's new first class seat is rather disappointing when compared to even business class on carries such as emirates or qatar. food is well below par both in terms of quality and quantity. i know ba is struggling to make ends meet but ultimately it has to appreciate that people paying for premium cabins expect a certain experience and the seat and food make up a major element of that experience. i guess there is little competition for ba on the north atlantic routes but it helps to explain why their share of routes to the far east and australia are diminishing.,Solo Leisure,Economy Class,Unknown,,no,Unknown
