title,rating,author,date_published,review_text,Type Of Traveller,Seat Type,Route,Date Flown,Recommended,Aircraft
"""service was good""",8,Claudiu Savulescu,7th January 2016,"I flew British Airways from Bucharest to London Heathrow return, with A320 and A321 on return. The service was good, meals okay, good staff. The return flight was 100% full and we were forced to check in hand luggage, which was rather strange. The flight from London Heathrow was not on time. It had a 30 minutes delay. Overall, the best experience for the amount of money required on Bucharest-London route.",Solo Leisure,Economy Class,TLV to PHL via LHR,November 2015,yes,A320 / Boeing 787
"""staff was very helpful""",9,Daniel Oliva,5th January 2016,"My family and I had a very good experience travelling from Nice to Montreal via London Heathrow. Both flights landed before schedule and staff was very helpful in both flights. Meal quality was better than expected and we were given seats with enough leg room, which appreciated because we were travelling with an infant too young for a seat.",Solo Leisure,Economy Class,LHR to BCN,December 2015,yes,A320
"""sad to see the same old planes """,4,Rob Jacobs,28th December 2015,"London to Newcastle. Been a while since I last flew British Airways, sad to see the same old planes in use and now very much looking their age for domestic use. Technical issues delayed departure, normal sure, but the noise the plane made on taxi lasted far too long and was slightly alarming and not the norm. Seat pitch belongs on a dodgy charter not the national carrier surely? Last time flown I got a nice sandwich and drink, this time it's small bag of crisps and juice? It's time BA stopped taking it's domestic (no competition routes) for granted and upgrade the fleet on short trips, the numbers onboard justify a better level of service considering the extra fees now attached for checked in luggage versus just carry on, puts me off using their long haul option with ever increasing fees whilst oil prices have been rock bottom for how long now? Kudos to the pilot for landing in Monsoon like conditions with very limited visibility - if only the aircraft quality matched their pilots!",Couple Leisure,Business Class,LGW to MCO,December 2015,yes,Boeing 777-200
"""excellent flights""",9,Shirley Scott,20th December 2015,"BA city break, this time Glasgow to Munich return via Heathrow. Four excellent flights, on time, aircraft clean and comfortable, crew helpful. Catering on three of the flights was a snack and on one a lovely turkey and cranberry sandwich, plus a full bar. Great hotel and the whole experience great value, only negative is no direct flights anywhere from Glasgow.",Couple Leisure,Business Class,LGW to BCN,November 2015,yes,A320
"""absolutely chaotic boarding process""",1,Sarah Shailes,16th December 2015,"Flew British Airways from Salzburg to London Gatwick. Check in was very slow. Boarding at Salzburg involves a bus ride out to the plane. No attempt was made to separate passengers by row numbers onto the two buses used, as other airlines do in a similar situation, resulting in an absolutely chaotic boarding process. Cabin crew were off hand. The in flight snack was thrown at rather served to passengers. The totally inedible ""sandwiches"" offered consisted of rubbery processed cheese between two thick slices of poor quality bread. The one consolation was that the flight lasted just less than two hours.",Business,Premium Economy,LHR to AUS,November 2015,no,Boeing 777
"""service was lacking in finesse""",2,Sarah Shailes,11th December 2015,"Flew British Airways from London Gatwick to Salzburg. Agent at baggage drop was rude and off hand, she tried to take my well under maximum sized cabin bag for ""free"" check-in as hold luggage. Even when I explained that it contained valuable items and medication, she still persisted. Boarding was efficiently managed, a pleasant change from the free for all I experienced on my last BA flight. The cabin crew made no attempt to greet passengers, or help with stowing luggage. The snack included in the ticket price consisted of a ""muesli"" which resembled yoghurt with a few oats stirred in, a stale, a unbuttered bread roll containing a slice of plastic cheese and a very small plastic cup of tea. Service was lacking in finesse. The one plus was landing twenty minutes early.",Couple Leisure,Business Class,London Gatwick to Punta Cana,December 2015,yes,Boeing 777-200
"""very friendly crew""",7,D Marsh,9th December 2015,"LGW to TPA with British Airways. Boeing 777-200 was an older aircraft but clean, very friendly crew, all smiles and helpful. Food was ok, three different choices, though sadly ran out of red wine mid flight. Seat ok for economy apart from the woman in front of me who must have thought she was in Club and kept trying to recline her seat into a flat bed.",Couple Leisure,Economy Class,LHR to LAS,July 2015,no,Boeing 747-400
"""disappointed by lack of care""",6,Richard Sheppard,1st December 2015,"New York to London with British Airways, and disappointed by the lack of care provided by the cabin crew. Passenger boarded with two overweight and oversize cabin cases that crew struggle to place in the overhead storage bins. Coats and bags were tossed out to make room, owners told to stuff them under their seat. We therefore spent the 6-7 hours with coats and bags wedged between us making it very difficult to sleep or use the seat tables. Upon landing there were no crew on hand to help the customer to get their cases down or to offer any sort of apology for the inconvenience caused. British Airways seem to be adopting Ryanair's approach to customer service. Why not also check bags at the gate.",Solo Leisure,Premium Economy,LHR to BNE via SIN,October 2015,no,Boeing 777-200
"""treat passengers poorly""",6,Shripad Sathe,29th November 2015,"Manchester to Mumbai via Heathrow return, an A320 for the shorter leg and a Boeing 777-300ER on the long haul leg. Sadly British Airways seems to have it's most rude and arrogant staff on flights to India, who treat passengers poorly and don't really care. Flew MAN-LHR-BOS return last month and the staff on those flights seemed to be much better. Same with the food - food on the flight to and from India wasn't great - I asked for a specific meal on the outward journey which wasn't there and was instead there on the return leg - which I did not need. When I queried this - the answer was ""You must have made a mistake"" and the attitude was of a ""take it or leave it"".",Couple Leisure,Economy Class,Vienna to London,November 2015,no,A380 / Boeing 747-400
"""uncomfortable business class flight""",1,Vernon Hills,23rd November 2015,"London Heathrow to São Paulo with British Airways was one of the most uncomfortable business class flights I have taken in recent years. The Boeing 747-400 is old and tired. BA claim their seat is 6'0 long. Not very comfortable when you're 6'6"". The seats are narrow and very uncomfortable. Previous week I travelled to Hong Kong with Emirates from the UK Maybe BA should checkout the competition! I am travelling back to the UK tomorrow and not looking forward to 11 hours of discomfort. The last time I will travel with BA.",Business,Economy Class,DUB to LCY,November 2015,no,A320
"""dried up sandwich""",3,Clive Drake,18th November 2015,"Trip got off to a good start with the Club lounge at Terminal 3, and I prefer it to T5. Decent seating. Reasonable food and plenty of drinks.  Plane was newish and in good shape. Was seated in 1A so leg room was fine. Anywhere else in Club Europe is a waste of time and little space. Plane took off 40 minutes late. FAs were fine. Declined the miserable, pathetic looking dried up sandwich which was the inflight meal. Had a couple of Gin and Tonics instead. Comfortable flight of about 80 minutes.",Couple Leisure,Business Class,LHR to LAX,November 2015,no,Boeing 777-200
"""service was lousy on both flights""",3,Michael Schulz,15th November 2015,"Travelled British Airways from London Heathrow to Buenos Aires return in Business Class. Business class layout is terrible with very narrow seats which are arrangend in way that almost in any seat you book, somebody will step over you during the night or you have to step over somebody else. In addition, there are screens between and your neighbor's seat which flight attendants have to move up and down when they want to serve passengers who do not have an aisle seat. I can't imagine how stupid the person who created this layout must have been. It is not comfortable for passengers nor is it for flight attendants. Very sticky atmosphere due to this odd arrangement of seats. In terms of service, this was lousy on both flights. There are about 4 flight attendants for about 40 Business Class seats. The flight attendants are quite old. It takes them a long time to get you something to drink on the table after take-off. They move through the cabin twice with drinks before they serve dinner and desert. Afterwards you don't see them and they may not show up even if you press the call button. Their attitude is by and large correct, but very formal and impersonal. They clearly don't display any signs of fun or interest in the customer. Food was reasonable. No Wifi available at all.",Couple Leisure,Business Class,London to Tampa,September 2015,no,Boeing 777-200
"""would fly them again""",9,Maureen Pratten,10th November 2015,"I travelled from London to Sydney via Singapore in British Airways first class. I found the service outstanding, food was good lots of choices and the wine list was also good. Seat was comfortable, but the thing I would fault is that the armrest does stick in to you when in the sleep position.  Would fly them again.",Family Leisure,Economy Class,GOT to LAX via LHR,October 2015,yes,A320 / A380
"""try to avoid BA in the future""",3,J Griffiths,7th November 2015,"Shameful service from British Airways travelling from Heathrow to Delhi. A problem with seat I had booked and paid extra for, ground staff said they had no authority - lots of phone calls nothing achieved, suggested I spoke with crew, understanding but pretty lack luster. A few crew members just rude. Food bad, service little better, seems to be a problem with allowing passengers a basic such as water. British Airways need to be shaken out of their tauper. Most other airlines far superior. Cabin very untidy, washroom not kept supplied. Sorry to say but nothing to commend here. I will try to avoid BA in the future.",Solo Leisure,Economy Class,Lisbon to London,November 2015,yes,A320
"""lack of service amazed me""",3,R Kohn,3rd November 2015,"Philadelphia to Athens via Heathrow with British Airways. The lack of service amazed me since I have flown both first and business on many airlines. The Club World menu listed 2 Starter items, 3 Main choices, and 4 desserts. I chose the Grilled halloumi and portobello mushroom starter. If it was grilled, it must have been a long time before it was refrigerated. Not too good. The fillet was like a piece of old shoe leather. I will admit that it might be difficult to come up with a medium rare steak but this was bad. I was never give a choice of desserts but found a piece of pie on my tray along with the starter and steak. I was never offered coffee and had to stop an attendant and ask for some. I was not offered any after dinner drink. In short, the service was rushed and more like a coach class. It appeared that the attendants were trying to get rid of us and get us to sleep rather than serve us. I was very disappointed and would avoid British Airways business class. This was on the PHL to Heathrow segment on October 26. Service on the second leg to Athens was good.",Solo Leisure,Business Class,LHR to Chengdu,March 2015,yes,Boeing 787-800
"""personal space is rather limited""",6,Nicholas Ware,31st October 2015,"Very comfortable flight in the Club World Cabin. The amount of personal space is rather limited and it is frustrating having to climb over your prostrate neighbour's legs. That said the Club World seats are very comfortable when a) upright, b) in ""z"" lounging position and c) as flat bed. In fact much more comfortable and sleep inducing than the much larger and spacious seats on the new Singapore Airlines 777s which appear amazing but simply are not comfortable. The big let down in BA Club is the food. Plonked in front of you on a plastic try with a table cloth that doesn't fit. Then the condiments arrive in those ghastly sachets that look more at home in a transport cafe. I like the seats despite the lack of personal and storage space but Willie Walsh is going too need to improve the food offer which falls well behind the Asian and ME3 carriers.",Solo Leisure,Economy Class,Antigua to St Kitts,September 2015,no,Boeing 747-400
"""lot of money for little in return""",2,Peter Dimblad,27th October 2015,"My wife and I recently flew to California, outbound on A380 into LAX, returning to LHR from SFO on Boeing 747-400. Both legs in WT+ (Premium Economy). The Boeing 747-400 is very tired aircraft who BA seemingly are not investing in at all. The plastic surrounding the blind was coming away, the footrest (attached to the seat in front) did not go all the way down resulting in an uncomfortable seating position and the rest of the aircraft and area was just very old, tired and tatty. Despite BA insisting that the seat pitch is the same as the A380, it felt far more cramped, and much more like normal WT (Economy). Not helped by the Multimedia box and seat legs of the seat in front in exactly the wrong place to stretch out. The TV screens are very small and an old square format with far more limited programming compared with the A380. On the meal service, they ran out of the beef choice half way around the cabin service leaving only a vegetarian option (the helpful cabin crew did eventually find one from business class as WT+ gets the business class entree) but only as they had one left over. I feel if you pay for a service (at near-as-makes-no-difference twice the price of WT) with the word ""Premium"" in the title you should expect a premium product. BA do not offer free pre-seating (unless you book this 24 hours before departure thus you cannot guarantee to be seated together if the flight is full or near full), priority check-in, priority boarding, the pre-take-off drink is orange juice or water on all inbound flights. Additionally, despite BA boarding by seat row numbers, this was ignored by most passengers and ground staff alike so by the time we were called to board, the WT+ cabin was already full with very limited room for our carry on luggage, so it lucky that we travel very light! As you can tell, overall I feel that this was a lot of money for very little in return. Based upon our experience, I would recommend the WT+ in the A380 but only when departing from the UK (you can pre-order your meal and they serve wine as a pre-take off). In addition, WT+ on the 380 is upstairs in a small, cosy cabin, light and airy with a very useful storage bin on the window seats. These may be small points on their own, but combine to take the shine off a very expensive upgrade.",Solo Leisure,Premium Economy,LHR to BKK,September 2015,no,Boeing 777
"""last time using British Airways """,2,Paul Todd,22nd October 2015,"Booked a British Airways trip from Sydney to London via Singapore through travel agent, not knowing the Business Class seating plan (big mistake on my part). Seat plan is 2-4-2 . We were allocated seats 15e and 15f. The 2 middle seat in the block of 4, so was flying backwards. Seats are too cramped, compared to other airlines, no storage space apart from a small draw to store a laptop. A plastic privacy screen is all that separated me from the person in the aisle seat and that had to be lowered and raised when cabin crew served meals and drinks. When the aisle seat was made into flat bed, I had to climb over person to use bathroom etc. This could be a problem for less mobile passengers. You should not expect to have to do this with the cost of flying business class The cabin crew provided good service and food was okay. This is the first and last time I will be using British Airways to fly business class, unless they change the seating configuration for business class.",Family Leisure,Premium Economy,Gatwick to Las Vegas,October 2015,yes,Boeing 777-200
"""food was indifferent""",5,ian depper,17th October 2015,"We flew British Airways World Traveller Plus (Premium Economy) on the flight from Vancouver to London. The male steward responsible for our section of the aircraft was indifferent to passengers, during the night section of the flight, he spilt a drink over my wife, made no attempt to clean up the resulting spill, and when he returned to our area he casually commented, ""Did I spill something on you"", my wife replied, ""Yes you did and I hope it was water"", ""No"", he replied, "" It was juice"" and walked away. The inflight entertainment was limited and subject to repeatedly breaking down, the food was indifferent and the snack we received before landing at Heathrow consisted of a dry croissant, no butter some jam and a half a cup of tea. I have not travelled with British Airways for a number of years due to previous bad experiences where the passenger is made to feel like an inconvenience, I hoped they would have learnt and improved, this certainly was not the case on this flight.",Solo Leisure,Business Class,LHR to SAN,September 2015,no,Boeing 777
"""pay to choose seats""",9,Daniel Baldock,14th October 2015,"British Airways from London to Rome, almost perfect on my last 3 flights. Food was edible, the flight attendant very pleasant. The problem with them is their policy to make people pay to choose their seats, very Ryanair.",Solo Leisure,Economy Class,London to Bangkok,April 2015,yes,Boeing 777-200
"""plane was really scruffy""",6,A Sommerville,9th October 2015,"Flew British Airways from Glasgow to Bangkok via Heathrow. GLA to LHR flight great, clean plane, staff friendly. Business lounge in Glasgow was most enjoyable. Heathrow to Bangkok in premium economy (economy class looked very cramped), the plane was really scruffy and my foot rest stuck. British Airways have let the standard slip on the smartness of the cabin interior - the curtain from Businees to Premium Econemy was all ripped, very scruffy bad impression. Excellent staff, food also good. Flights on time. But British Airways Premium Economy is not a patch on EVA Air. BA need to upgrade planes on this route or lose customers to the other carriers. Even the staff uniforms looked washed out.",Business,Business Class,HKG to LHR,September 2015,yes,A380
"""airline with very mixed quality""",6,C Jasper,7th October 2015,"British Airways is an airline with a very mixed quality. I am flying it very often and I think that quality is decreasing over the last few months.  Whereas lounges are great and the staff is almost nice, the flight attendants sometimes are unfriendly. On this flight one flight attendant hit me twice with his cabin trolley and did not even excuse himself. The aircraft and the seats in Premium Economy are quite good including food and drinks.  But the worst with BA is customer support and help with problems. On my outbound flight from PHL to LHR I had a problem with reserving a seat. Although it was shown as free in the map (no bassinet!) I was not able to select it. First time calling the customer support I was told this is a technical error. Second time the lady told me that this is not bookable as this is next to a bassinet. Then one day later is was reserved. I called again and they told me that I was too late. Any hint on my two other calls was answered with ""that's your problem. You have a seat what is the problem?"". I mean at least she is right but the attitude is extremely bad and maybe there is a reason why I want to have this seat. My email with a complaint on this wasn't answered till today excet for the automated we will answer asap. If British Airways continue with that customer service I might change shortly.",Family Leisure,Economy Class,LGW to ALC,August 2015,yes,A319
"""clapped-out aircraft""",1,P Hilliard,1st October 2015,"These British Airways flights were undoubtedly the worst we've ever had to South Africa in ten years of travelling there. The seats were narrow, lumpy and incredibly uncomfortable especially for a long haul journey. I thought initially that we were unlucky and got broken or faulty seats on our outward journey, but they were just as bad on the return journey. To add insult to injury, we'd selected and paid for seats of our preference, but when we got to the airport for our return journey we were told the seats were gone, and simply told we would have to apply for a refund. The worst aspect of the flight however, was the heat. The aircraft was oppressively hot and stuffy for hours on the way from Johannesburg to London. Many passengers complained but the crew could apparently do nothing because the air conditioning system appeared too old to regulate the temperature. Also the entertainment system had to be switched off and rebooted several times because many passengers' consoles were not working. There were passengers who had to do without entertainment for the entire 10 hour flight. These aircraft are not fit for flying and should have been retired a decade ago. Pity the poor crew who have to work on these clapped-out aircraft every day. We've been travelling to South Africa several times a year for the past decade and this was our first time travelling with British Airways. Clearly it will also be our last. Avoid British Airways or their Boeing 747-400s at all costs.",Business,Business Class,LHR to DXB,September 2015,yes,Boeing 747-400
"""compared with old seats, not very comfortable""",6,K Pellberg,27th September 2015,"Early morning flight from Stockholm to Heathrow on Sep 20th. Sat in the first row which had a little bit more legroom, but compared with the older Club Europe seats, not very comfortable. The purser seemed to have had a relly bad night sleep in Stockholm being really rude and unfriendly to customers, but laughing loudly with his fellow FA's. He kept on slamming the doors in the galley loudly throughout the flight. My friend who flew business class for first time was shocked. Fortunately our late evening return flight was a totally different story with an extremely attentive male purser who was there all the flight.",Couple Leisure,Business Class,LHR to Bologna,September 2015,no,A320
"""my wife and I were seated 4 rows apart""",2,M Bailey,24th September 2015,"Checked in online for our British Airways flight from Larnaca to Heathrow. and discovered my wife and I were seated 4 rows apart. No seats together were available in the seating chart under ""manage my booking"". Is the BA software so poor that it can't keep 2 seats together when booked at the same time? The answer must be yes. The check-in person said they would try and get us two seats together when we presented at the gate, but as usual when you present at the bag-drop the staff member will say whatever is necessary to get you away and through security with minimum fuss and delay. In this case needless to say our separate seating remained separate. I wouldn't take the trouble to record this here except that I have felt irritated for the last few flights I've done with British Airways, with poor food, in-flight entertainment screens that work intermittently, faulty headphones, or being seated so that the only screen available is the other side of the business class dividing curtain which was drawn half way through the film. I've preferred British Airways on the basis that some of the budget operators charge you the same by the time you add their various extra charges. I'm now coming to the conclusion that if they charge the same I might as well fly with them and then I won't have to wait an extra 5 mins to get off the plane while the business class punters get off first.",Solo Leisure,Economy Class,LHR to OSL,August 2015,yes,A320
"""Seats in Club Europe identical to Economy""",3,Kerry Kenton-Clarke,19th September 2015,"London City to Granada. I've flown with BA a lot over the years, most recently in Business and First and have, until recently, always had a favourable opinion of them. I recently used Avios to take a short break to Granada with my brother. My normal choice for such a short flight would have been economy because I don't believe the extra cost (whether this be actual money or Avios) justifies the perceived benefits. Regrettably, no economy reward seats were available so I opted for Club Europe. The only real benefit on this particular route was the increased baggage allowance, although this was of no real use for a 3 to 4 day trip! So what did we get for our 'business' flights no lounge at City Airport, no fast track at City Airport, a 'holding pen' prior to boarding with everyone standing around in a small room and no priority boarding. Seats in Club Europe are identical to those in Economy. The breakfast going out was terrible (burnt food along with dried out toast and croissant). The lunch (if you can call it that) coming back was also terrible - a cold salad dish with dried out rolls accompanied by vinegary wine. No lounge at Granada, No fast track at Granada, coupled with a single check-in desk most of the time and long queues I complained to BA about this - the initial response was that Club Europe left the middle seat free to allow more room. Whoever responded obviously didn't even think to check the aircraft, as there is no middle seat on the Embraer - it's a 2x2 configuration for the whole aircraft. After some considerable persistence on my part, a partial refund of 5,000 Avios each was provided by British Airways. I recently had the choice of flying Club World to Hawaii (BA to LAX and then AA to HNL) but given the fact that British Airways Club World can be quite claustrophobic, ultimately decided to try out Qatar Airways new business class to Thailand (via Doha) - by all accounts their business class is comparable to British Airways first class. I shall review this some time next year!",Solo Leisure,Premium Economy,YYZ to LHR,September 2015,yes,Boeing 777
"""British Airways customer service is laughable""",1,Philip Sharp,15th September 2015,"British Airways lost case by labeling my case with the wrong name and destination. Lost luggage office at Amsterdam was difficult to find, but staff were helpful. Form given with email contact address to keep you informed was  totally useless - 4 days of issuing emails each day no response. Phone number called by Viking concierge for 10 hours on and off for 4 days was totally ignored or information totally useless. Finally after obtaining a senior executive email address they found and sent after discussion to my house but not on the day agreed. Taken 26 days to respond to first letter of complaint. 14 days to date and still no reply to second email of complaint. British Airways customer service is laughable.",Business,Business Class,London Heathrow to Rome FCO,September 2015,no,A320
"""never recommend British Airways to anyone""",1,Jordan Heseltine,9th September 2015,"Worst experience I've ever had in an airport, poor organisation with bad customer service from British Airways staff who didn't care that I would have a 5 hour delay, due to been told I would need to cancel and rebook my conecting internal flight. As my flight was delayed between JFK and Heathrow. I was appalled to see how badly immigration was dealt with and how little effort British Airways put into organising its customers. Some people where told to go to a service desk and cancel and rebook flights, while others got put in a fast track immigration queue. No staff seemed to care about the delay my partner and I were experiencing after a 7 hour flight. I would never recommend British Airways to anyone. They only care about premium paying passengers and the service they claim to offer has been left behind by other providers. Absolute garbage!!",Business,Business Class,Athens to London,September 2015,no,A320
"""never use British Airways again",1,Frye Callaghan,6th September 2015,"I used British Airways to Hong Kong in 2012 and remember vowing to never use them again. However, as I needed to get to New York and back quickly I had to use British Airways, and I thought they may have bucked up their ideas. The flight to NYC was on a Boeing 747 which really did need an uplift, the seats and decor was tired and the staff rude. The entertainment system was terrible and limited. On the return flight, I was on a Boeing 777 and although slightly more modern, the entertainment again was limited and the control unit didn't work. The staff were better than the previous flight. However British Airways did manage to mislay my baggage between NYC and Manchester and I received it 24hours later (battered and missing some clips and thankfully nothing broken inside). I've decided that whenever I fly eastw I'll continue using Emirates or Singapore Airlines (both of a far higher quality than British Airways) and to the USA maybe Virgin (have to be better than BA surely?). I'll never use BA again.",Business,First Class,London to Dubai,August 2015,no,Boeing 747-400
"""strange new Club Europe seats""",6,Clive Drake,2nd September 2015,"Brussels to Heathrow with British Airways. Lounge at Brussels very acceptable. Plenty of space. Reasonable snacks (I wouldn’t call it a 'meal'.) Plane pushed back on time and we were airborne in minutes. The flight to LHR was just 40 minutes and straight in without stacking – landing from the East. Barely enough time for a meal, but a number of passengers took advantage of the reasonable looking prawn salad. I was happy with a couple of gin and tonics. Seated in row one, so leg room was okay in the strange “new” Club Europe seats. Overall not bad.",Family Leisure,Economy Class,Gatwick to Marrakech,August 2015,yes,A320
British Airways customer review,3,Kim Dollery,29th August 2015,"London to Miami return. Flew out with 5 children, one was an infant turning 2 during holiday. Had necessary booking for seat on return and booking number and email assuring me bookings were linked and there would be no issue. Upon checking in to return was met with rude staff who commented ""don't even touch that it's hassle just refer her to ticketing"" where I spent the next two hours waiting for them to check me in. My flight closed and took off without me - despite me constantly stressing that I had a child with a fractured leg and medical assistance all linked to the flight. Long story short, I was dumped on next flight after 3 hours waiting at desk with 5 children, no explanation of what was going on - people being served all around me by person who was supposed to be dealing with me, no child meals were transferred and all assistance was abandoned as was connected with previous flight. Resulted in me being stranded at Heathrow as my 7 seater taxi had left and was impossible to book another. However this wasn't all - check in staff went on to tell me that my 32 kilo case could not be boarded as it was too heavy under health and safety regulations. I had to throw away 8 kilos worth of clothing. This was despite me being 48 kilos under my overall baggage allowance and receiving a sticker labelled 'heavy bags must not weigh more than 32 kilos'. Had a further 3 hour wait at the other end as all medical assistance booked had not been transferred as requested. Would never fly British Airways again due to the complete and utter incompetence of the ground staff at Miami.",Couple Leisure,Business Class,LHR to CPH,August 2015,no,A321
British Airways customer review,8,A Coogans,26th August 2015,"Check in agent at Glasgow was very cheerful and polite. Both crews were efficient and polite, if not particularly engaging. In economy it was a very standard service. I like the new seats on both aircraft. What I don't like is having to transfer from T5 to T3 at Heathrow. Over the past several years I seem to always end up travelling to the destinations requiring this transfer, which adds a lot of time and hassle to what would be an extremely efficient domestic to international connection at T5.",Couple Leisure,Economy Class,St Lucia to Gatwick,August 2015,no,Boeing 747-400
British Airways customer review,8,Alan Thompson,20th August 2015,Ground handling is not great at Bari but once on board was quickly forgotten. Great flight with attentive cabin crew. Delicious afternoon tea with unlimited Champagne. Very good experience.,Couple Leisure,Economy Class,Edinburgh to London City,August 2015,no,A320
British Airways customer review,10,Steve Pilibbossian,17th August 2015,"Excellent Club Europe service. I am amazed how European carriers serve so much to it's business class passengers for such a short flight compared with North American airlines business class. Champagne, delicious afternoon tea, and superior service made this short 2 hour flight perfect in business class. Great business class lounge in Marseille for business class passengers.",Couple Leisure,Economy Class,Dublin to Vancouver via London Heathrow,August 2015,yes,Boeing 767
British Airways customer review,10,David Stones,11th August 2015,"I fly 95% for pleasure and often take advantage of Avios reward flights coupled with BA Amex companion offers and with careful planning, we seem to always find something in business for my wife and I and then pay for our 6 yr old boy, which given his age, has to include the half term and summer holiday periods. My best experience recently was flying the to Las Vegas on an ageing B747, but this was overcome by the decision to offer us the option of sitting in the ""Old"" First Cabin, which my wife and I took full advantage of and was very comfortable, quiet and private. We did the same on the way back, but because of an aircraft change we found ourselves flying in a refurbished New First which was the icing on the cake (all of this for just £2000 each in the BA sale). This type of service can also be repeated on short haul with excellent food for an airline. My only gripes are the use of tiny A319's on the Paphos route which is too small a plane for such a long route and I'm not a big fan of the decision to reduce legroom in the new Club Europe, however the exclusion of the middle seat does give enough room for you legs. Having flown with Qantas and Emirates in Y Class recently I genuinely don't believe they are much further ahead of BA, my A380 experience on Qantas was distinctly ordinary for a premium product.",Solo Leisure,Economy Class,DME to GLA via LHR,August 2015,yes,Boeing 747-400 / A321
British Airways customer review,1,Shannon O'Hara,8th August 2015,"The staff were friendly and food was good, selection of films was more than satisfactory. However, due to a power failure at Heathrow our luggage did not make it on our flight. I was appalled to see that there was no back up at all in the first place, but then we were told our baggage would be with us within two days by one of British Airways staff. It is now nearly our fourth day on holiday and we still have not got our bags. I understand that this happens and sometimes is inevitable, but I am most dissatisfied by the information British Airways are able to provide us about our bags. All we know is that they have left Heathrow; we don't know which airport they were flown to, if they arrived, where they are or when we can expect them. They have no details of any individual bags and I think this is disgusting service. The staff have been unhelpful and unwilling to aid us in finding our luggage, which has spoiled our holiday completely and left us in a dofficult situation with 4 children under 12.",Couple Leisure,Economy Class,London to Cape Town,July 2015,yes,Boeing 747 400
British Airways customer review,1,Mike Bullen,4th August 2015,"The outgoing flight was fine, the return flight was cancelled due to an issue with the plane. I understand this happen as I am a seasoned traveller, however what happened next was unacceptable and what you would expect from a low class airline. We were handed tickets for an American Airlines flight from a different O'Hare terminal and told ""you have to go now"". The terminal was in chaos and travelling from the international terminal to terminal three took one hour. Getting boarding passes and going again through security was another hour or so but the flight was delayed and left two hours late. Flight was very mediocre and not what I had paid for with BA. We arrived in London and guess what - no bags, even though we spent more than 5 hours in Chicago Airport and were assured our bags were on the flight. That was Sunday now it is Tuesday, no on has contacted us and no updates.",Business,Business Class,Cape Town to London,July 2015,no,Boeing 747-400
British Airways customer review,4,Yang Zhou,29th July 2015,"Had a very unpleasant experience with BA this time. They changed our family seats without warning. First time flying with two babies, booked the ticket and reserved two seats together sitting together with husband. Both babies are lap seat. Two days before the flight I called the BA service to make sure our seats and ticket are all fine and got a positive answer. On the day of boarding found out out seats are moved apart. For 12 hours flight, our family seats are arranged far apart. After more than 40 minutes standing at the counter waiting for the coordination, we could sit across the aisle when we get on the plane. No food for my 2 year old. If we are not allowed to bring food onto the plane, what do BA expect baby can eat? No help from staff with any service. When babies are crying and very restless  we didn't get any help from BA staff. When I flew with other airlines, flight attendant brought small toys to help distract and entertain baby. BA forgot to unload out stroller when we landed.",Business,Business Class,London to Faro,July 2015,no,A318
British Airways customer review,1,Eric Rose,25th July 2015,"Previously a loyal BA customer, I Usually travel economy on shorthaul but I am 6'4"" with long legs and am very uncomfortable unless I can get Exit row. So on this flight I took advantage of a what I thought was a reasonably priced Club World ticket expecting the past 34 inch seat pitch. Horrified to find on boarding that BA have reduced the seat pitch to 30 inch - exactly the same as in economy. The presence of an empty middle seat and pathetic little table for your tablet computer is no compensation. Fortunately this was a short flight but even so I was extremely uncomfortable. Cabin staff and other passengers said there had been loads of complaints but clearly BA don't care. I sometimes go to Cyprus and the thought of a 4 hr+ flight in these cramped seats puts me off totally. The meal was passable but as the flight took off a couple of minutes before midday it was classed as ""late breakfast"" and no wine was served. It is clear that BA are putting profit over customer service and I am amazed that anyone travels Club Europe. Later in the year I was due to travel to South America via Madrid in Business Class but have now cancelled and switched to another airline. In future I will avoid BA shorthaul wherever possible.",Solo Leisure,Economy Class,ATL to LHR,July 2015,yes,Boeing 777-200
British Airways customer review,7,N Sunder,20th July 2015,"Outbound flight to Athens was on time, but return flight delayed by almost 2 hours. Due to an equipment change the return was on a B767, and I was seated in the premium economy cabin, which was definitely more comfortable, and had the added benefit of AVOD, which is unavailable in the usual A320. I was pleasantly surprised to be served a warm meal on both sectors, which is more than I was expecting on an intra-European flight. Crew were professional, but not particularly helpful or engaging.",Solo Leisure,Business Class,Vancouver Canada to London,July 2015,no,Boeing 747
British Airways customer review,1,Robert Borman,15th July 2015,"First leg CAI-LHR was on time, flight crew was pleasant, but the seating was very cramped and legroom almost non-existent. The second leg LHR-JFK wasn't much different with helpful crew but horrible seating space. My knees were pressed against the seat in front of me constantly and had to relieve them one at a time. It used to be a flagship carrier but now it's not much better than a budget airline. Will do my best to avoid.",Business,Economy Class,Shanghai to London Heathrow,June 2015,no,A321
